timestamp,sample_count,seq,f_ch1_delta,f_ch1_theta,f_ch1_alpha,f_ch1_beta,f_ch1_gamma,f_ch2_delta,f_ch2_theta,f_ch2_alpha,f_ch2_beta,f_ch2_gamma
1775732124.792497,20000,31,4.3111042976379395,3.689671277999878,5.161214351654053,2.8278205394744873,2.3738982677459717,3.9933836460113525,4.056985855102539,5.071510314941406,2.6978647708892822,2.2382607460021973
1775732125.7914984,20250,25,4.305213451385498,3.6873340606689453,5.164161682128906,2.818500280380249,2.3717195987701416,3.990867853164673,4.055536270141602,5.072896957397461,2.6952779293060303,2.2277371883392334
1775732126.7907405,20500,19,4.303825378417969,3.6857521533966064,5.164811611175537,2.8228213787078857,2.3610236644744873,4.000629425048828,4.055140018463135,5.074202060699463,2.690678834915161,2.230738401412964
1775732127.7907972,20750,13,4.246209621429443,3.6707489490509033,5.1628241539001465,2.780625343322754,2.338848829269409,3.869295120239258,4.066011905670166,5.080160617828369,2.6595945358276367,2.2196290493011475
1775732128.7941992,21000,7,4.026924133300781,3.63226056098938,5.1630706787109375,2.676419496536255,2.2906267642974854,3.508488893508911,4.064489841461182,5.081692218780518,2.579251766204834,2.206073522567749
1775732129.7928123,21250,1,3.820873260498047,3.596999406814575,5.1644415855407715,2.5723278522491455,2.2581615447998047,2.8957433700561523,4.062203407287598,5.081681251525879,2.526801109313965,2.190486192703247
1775732130.7920702,21500,251,3.694859504699707,3.5789477825164795,5.167383670806885,2.5195729732513428,2.2340810298919678,2.4204366207122803,4.050981044769287,5.077572345733643,2.494765043258667,2.1846444606781006
1775732131.7925978,21750,245,3.6974689960479736,3.5826117992401123,5.166346073150635,2.523648500442505,2.2244462966918945,2.17344069480896,4.054800510406494,5.076477527618408,2.514291524887085,2.193354845046997
1775732132.7913635,22000,239,3.733649492263794,3.5868561267852783,5.164736270904541,2.5176641941070557,2.1996448040008545,2.1622228622436523,4.060311794281006,5.075893878936768,2.513620615005493,2.1944122314453125
1775732133.7914557,22250,233,3.6970136165618896,3.5835838317871094,5.163111209869385,2.504635810852051,2.1857221126556396,2.3059451580047607,4.063277721405029,5.075415134429932,2.519465446472168,2.192220449447632
1775732134.7935493,22500,227,3.694045305252075,3.5838520526885986,5.163510799407959,2.478431463241577,2.1863791942596436,2.3212225437164307,4.06426477432251,5.076486587524414,2.5432393550872803,2.1783711910247803
1775732135.7911835,22750,221,3.869945526123047,3.6146326065063477,5.164682388305664,2.5570647716522217,2.244394302368164,2.909271478652954,4.0643110275268555,5.0768208503723145,2.6170976161956787,2.185762405395508
1775732136.7926538,23000,215,4.08892297744751,3.652144193649292,5.166615962982178,2.6401329040527344,2.297548532485962,3.356011390686035,4.066606044769287,5.076569080352783,2.685606002807617,2.205900192260742
1775732137.7942917,23250,209,4.3206048011779785,3.6865761280059814,5.167240142822266,2.737794876098633,2.349623918533325,3.9409008026123047,4.069589614868164,5.075748443603516,2.7215023040771484,2.223773717880249
1775732138.7921941,23500,203,4.328552722930908,3.689127206802368,5.166367530822754,2.7328898906707764,2.3509013652801514,3.9595882892608643,4.071920871734619,5.0751471519470215,2.7116405963897705,2.221977472305298
1775732139.7957048,23750,197,4.336475372314453,3.6883437633514404,5.1651225090026855,2.7224085330963135,2.3471009731292725,3.9644739627838135,4.069826126098633,5.075290203094482,2.696481704711914,2.215643882751465
1775732140.7921894,24000,191,4.328495502471924,3.689434051513672,5.16474723815918,2.727001905441284,2.345867395401001,3.9681594371795654,4.066642761230469,5.07576322555542,2.6971871852874756,2.225968599319458
1775732141.7930217,24250,185,4.326809406280518,3.6932733058929443,5.165404796600342,2.7375905513763428,2.3468685150146484,3.958996534347534,4.065001964569092,5.0767645835876465,2.6849305629730225,2.2463772296905518
1775732142.7920723,24500,179,4.2416672706604,3.686478853225708,5.161660671234131,2.7275426387786865,2.3286421298980713,3.8448619842529297,4.073709964752197,5.078946590423584,2.653653860092163,2.263536214828491
1775732143.7919958,24750,173,4.034278392791748,3.656693458557129,5.15949010848999,2.6610422134399414,2.2926008701324463,3.2834415435791016,4.0749125480651855,5.077819347381592,2.5755832195281982,2.245896577835083
1775732144.7959003,25000,167,3.8347203731536865,3.6253509521484375,5.1561055183410645,2.5820250511169434,2.2503108978271484,2.8051984310150146,4.072033882141113,5.077703475952148,2.5055506229400635,2.218397378921509
1775732145.792266,25250,161,3.716485023498535,3.6034746170043945,5.157524108886719,2.530345916748047,2.2308223247528076,2.374988317489624,4.061557769775391,5.075471878051758,2.4658992290496826,2.204810857772827
1775732146.7923877,25500,155,3.702568769454956,3.603541135787964,5.157561779022217,2.5341269969940186,2.2323851585388184,2.4743127822875977,4.0562872886657715,5.07484769821167,2.4656789302825928,2.2185020446777344
1775732147.8304524,25750,149,3.6850554943084717,3.6015913486480713,5.158511638641357,2.5412304401397705,2.2460777759552,2.367694854736328,4.0571675300598145,5.072256088256836,2.471628427505493,2.228703260421753
1775732148.7935731,26000,143,3.6792547702789307,3.602094888687134,5.158665657043457,2.5354180335998535,2.2710561752319336,2.2873995304107666,4.058186054229736,5.0705084800720215,2.4633285999298096,2.219241142272949
1775732149.7924862,26250,137,3.6792776584625244,3.604236602783203,5.1589741706848145,2.517510175704956,2.2937428951263428,2.154794454574585,4.060960292816162,5.0687174797058105,2.471958875656128,2.194659948348999
1775732150.8179793,26500,131,3.8840439319610596,3.6382248401641846,5.160754203796387,2.599536657333374,2.3410699367523193,2.7388200759887695,4.058749198913574,5.067789077758789,2.559905767440796,2.2157487869262695
1775732151.8234205,26750,125,4.087813854217529,3.6727139949798584,5.164271831512451,2.681920289993286,2.3709888458251953,3.367921829223633,4.058241367340088,5.068106174468994,2.6568095684051514,2.2541322708129883
1775732152.8341515,27000,119,4.315879821777344,3.7065436840057373,5.168193817138672,2.762899398803711,2.395059108734131,3.970592498779297,4.059604644775391,5.069267749786377,2.7366275787353516,2.29984450340271
1775732153.8232636,27250,113,4.3231682777404785,3.7089569568634033,5.1690545082092285,2.7494592666625977,2.3790857791900635,3.9793243408203125,4.06672477722168,5.071424961090088,2.7353427410125732,2.2915234565734863
1775732154.8079982,27500,107,4.324410915374756,3.709017753601074,5.1692023277282715,2.7391045093536377,2.3656833171844482,3.980271100997925,4.069443702697754,5.0729079246521,2.735748052597046,2.275130271911621
1775732155.8267038,27750,101,4.314459323883057,3.7080795764923096,5.168689727783203,2.7412853240966797,2.357893466949463,3.9715957641601562,4.06612491607666,5.075500011444092,2.743887186050415,2.268505334854126
1775732156.831565,28000,95,4.31853723526001,3.7084367275238037,5.170173168182373,2.7544949054718018,2.337778329849243,3.9735288619995117,4.0584611892700195,5.077234268188477,2.749140977859497,2.283229112625122
1775732157.8328338,28250,89,4.24833869934082,3.6980676651000977,5.166731834411621,2.7262332439422607,2.2903711795806885,3.833953619003296,4.058321475982666,5.081935882568359,2.7244653701782227,2.2927181720733643
1775732158.8252106,28500,83,4.0239152908325195,3.6631581783294678,5.163803577423096,2.63728928565979,2.2033729553222656,3.421679735183716,4.051706314086914,5.082592010498047,2.635030508041382,2.2677249908447266
1775732159.8305,28750,77,3.8336527347564697,3.6248295307159424,5.160562992095947,2.542093515396118,2.1528570652008057,2.779099225997925,4.046497821807861,5.083256244659424,2.5563981533050537,2.2253782749176025
1775732160.824512,29000,71,3.682912588119507,3.59580397605896,5.161394119262695,2.490741729736328,2.141366958618164,2.383112907409668,4.031127452850342,5.0795674324035645,2.515650987625122,2.1852471828460693
1775732161.8284955,29250,65,3.70572566986084,3.5910017490386963,5.161757946014404,2.4960145950317383,2.160338878631592,2.428041696548462,4.023471355438232,5.0787482261657715,2.530733346939087,2.1788270473480225
1775732162.8013937,29500,59,3.6800174713134766,3.58762526512146,5.160818576812744,2.4850857257843018,2.175281286239624,2.558579206466675,4.019444942474365,5.077901840209961,2.5303285121917725,2.1809184551239014
1775732163.8233068,29750,53,3.6900243759155273,3.587601661682129,5.159666061401367,2.4789159297943115,2.175790309906006,2.6184704303741455,4.021607875823975,5.077690124511719,2.511885643005371,2.1771929264068604
1775732164.8223414,30000,47,3.6722021102905273,3.5871918201446533,5.158305644989014,2.4555282592773438,2.1935722827911377,2.4521329402923584,4.026705265045166,5.077126502990723,2.5049123764038086,2.156914710998535
1775732165.823031,30250,41,3.8778913021087646,3.618382215499878,5.158071041107178,2.5271847248077393,2.222303628921509,2.9470605850219727,4.033559322357178,5.075262546539307,2.557217597961426,2.181530237197876
1775732166.8302479,30500,35,4.0824408531188965,3.649369239807129,5.157711505889893,2.595775842666626,2.2561750411987305,3.4251739978790283,4.039613246917725,5.0725274085998535,2.615694999694824,2.20908260345459
1775732167.828371,30750,29,4.303910732269287,3.683786392211914,5.157192230224609,2.686528444290161,2.271458148956299,3.953490972518921,4.0467305183410645,5.0706562995910645,2.6760807037353516,2.2498233318328857
1775732168.829797,31000,23,4.306808948516846,3.687883138656616,5.156870365142822,2.682971954345703,2.2691643238067627,3.979257822036743,4.048532962799072,5.069690227508545,2.668865919113159,2.2518813610076904
1775732169.8266501,31250,17,4.314834117889404,3.6918201446533203,5.158376216888428,2.6880130767822266,2.2740912437438965,3.977421522140503,4.050532817840576,5.0706353187561035,2.6729719638824463,2.253211259841919
1775732170.824244,31500,11,4.310678005218506,3.6903059482574463,5.161106109619141,2.6911284923553467,2.283341646194458,3.9830729961395264,4.047608852386475,5.071378231048584,2.6712558269500732,2.259490489959717
1775732171.8303554,31750,5,4.310388565063477,3.6915900707244873,5.16312313079834,2.7000997066497803,2.2875216007232666,3.975942611694336,4.045510768890381,5.071777820587158,2.6799590587615967,2.271468162536621
