timestamp,sample_count,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
1776940508.4566958,44500,-10.760122299194336,-10.961474418640137,-11.107279777526855,-11.409833908081055,-11.988811492919922,-11.123395919799805,-11.03722095489502,-11.140148162841797,-11.312700271606445,-11.949689865112305
1776940509.4568126,45000,-10.73277473449707,-10.938745498657227,-11.17409610748291,-11.384753227233887,-11.89778995513916,-11.089421272277832,-11.063827514648438,-11.191543579101562,-11.291097640991211,-11.86596393585205
1776940510.4686012,45500,-10.680116653442383,-10.883678436279297,-11.215347290039062,-11.347288131713867,-11.795389175415039,-10.97433853149414,-11.043268203735352,-11.215553283691406,-11.257214546203613,-11.790716171264648
1776940511.456715,46000,-10.609526634216309,-10.829895973205566,-11.256978034973145,-11.304160118103027,-11.708505630493164,-10.91716194152832,-11.011222839355469,-11.248679161071777,-11.222360610961914,-11.731878280639648
1776940512.4563897,46500,-10.489081382751465,-10.738263130187988,-11.236700057983398,-11.252697944641113,-11.672381401062012,-10.890892028808594,-10.951910018920898,-11.223923683166504,-11.181097030639648,-11.710851669311523
1776940513.4646537,47000,-10.402450561523438,-10.65998649597168,-11.172574043273926,-11.20837116241455,-11.719793319702148,-10.862947463989258,-10.879072189331055,-11.173243522644043,-11.143708229064941,-11.758033752441406
1776940514.456836,47500,-10.408576011657715,-10.615528106689453,-11.104291915893555,-11.18000602722168,-11.805177688598633,-10.869626998901367,-10.806449890136719,-11.10157585144043,-11.11756706237793,-11.81867504119873
1776940515.4567642,48000,-10.406532287597656,-10.568288803100586,-11.031159400939941,-11.167980194091797,-11.896062850952148,-10.905828475952148,-10.749768257141113,-11.025553703308105,-11.118260383605957,-11.887215614318848
1776940516.456275,48500,-10.463509559631348,-10.591882705688477,-11.013742446899414,-11.186788558959961,-11.983915328979492,-10.946287155151367,-10.779698371887207,-11.011481285095215,-11.145962715148926,-11.958097457885742
1776940517.4567883,49000,-10.512009620666504,-10.653366088867188,-11.048604011535645,-11.221410751342773,-12.006357192993164,-11.005728721618652,-10.83637523651123,-11.064901351928711,-11.180118560791016,-11.99911880493164
1776940518.4564166,49500,-10.51470947265625,-10.698434829711914,-11.046977043151855,-11.265209197998047,-11.996851921081543,-11.024812698364258,-10.88505744934082,-11.123327255249023,-11.218244552612305,-12.032916069030762
1776940519.4565773,50000,-10.529862403869629,-10.75735855102539,-11.072482109069824,-11.302751541137695,-11.96683120727539,-11.033537864685059,-10.932591438293457,-11.176542282104492,-11.249069213867188,-12.067394256591797
1776940520.4568534,50500,-10.589499473571777,-10.835290908813477,-11.102066040039062,-11.328011512756348,-11.939083099365234,-11.063555717468262,-10.966806411743164,-11.211381912231445,-11.274953842163086,-12.093771934509277
1776940521.4564226,51000,-10.622020721435547,-10.870368957519531,-11.073994636535645,-11.34675121307373,-11.919286727905273,-11.08534049987793,-10.939125061035156,-11.181485176086426,-11.291997909545898,-12.107431411743164
1776940522.4568799,51500,-10.714582443237305,-10.945322036743164,-11.122407913208008,-11.362096786499023,-11.914361953735352,-11.095296859741211,-10.953953742980957,-11.169454574584961,-11.3151216506958,-12.10820198059082
1776940523.4565244,52000,-10.827478408813477,-10.993914604187012,-11.188031196594238,-11.370479583740234,-11.936582565307617,-11.17689323425293,-10.950430870056152,-11.159831047058105,-11.326980590820312,-12.081815719604492
1776940524.456459,52500,-10.864069938659668,-10.99035358428955,-11.237375259399414,-11.361091613769531,-11.950668334960938,-11.296332359313965,-10.95379638671875,-11.152262687683105,-11.31074333190918,-12.04101848602295
1776940525.456458,53000,-10.819844245910645,-10.980073928833008,-11.303510665893555,-11.348737716674805,-11.961091995239258,-11.346641540527344,-10.978730201721191,-11.17439079284668,-11.29084587097168,-11.9974365234375
1776940526.456397,53500,-10.762845993041992,-10.967154502868652,-11.345475196838379,-11.318958282470703,-11.98016357421875,-11.298307418823242,-10.992588996887207,-11.20313835144043,-11.260427474975586,-11.971394538879395
1776940527.4563212,54000,-10.68961238861084,-10.86925220489502,-11.298226356506348,-11.280282974243164,-11.988330841064453,-11.229116439819336,-10.97655200958252,-11.195582389831543,-11.233152389526367,-11.961127281188965
1776940528.4563146,54500,-10.60587215423584,-10.817718505859375,-11.254972457885742,-11.266359329223633,-11.974666595458984,-11.14099407196045,-11.014554977416992,-11.20329475402832,-11.227773666381836,-11.975967407226562
1776940529.490527,55000,-10.492695808410645,-10.797740936279297,-11.193385124206543,-11.265369415283203,-11.978710174560547,-10.983187675476074,-11.057548522949219,-11.215932846069336,-11.250850677490234,-11.995889663696289
1776940530.4567213,55500,-10.433487892150879,-10.772538185119629,-11.152186393737793,-11.266217231750488,-11.977557182312012,-10.878133773803711,-11.079957962036133,-11.235458374023438,-11.266010284423828,-12.000706672668457
1776940531.4566345,56000,-10.44584846496582,-10.758750915527344,-11.183952331542969,-11.258295059204102,-11.966499328613281,-10.865865707397461,-11.092964172363281,-11.269898414611816,-11.261850357055664,-11.999526023864746
1776940532.4567528,56500,-10.42505931854248,-10.692503929138184,-11.173822402954102,-11.222840309143066,-11.97685432434082,-10.879194259643555,-10.94060230255127,-11.234278678894043,-11.222865104675293,-12.00078010559082
1776940533.4566286,57000,-10.455796241760254,-10.613821983337402,-11.180641174316406,-11.17090129852295,-11.983316421508789,-10.890828132629395,-10.76997184753418,-11.168157577514648,-11.164599418640137,-11.979333877563477
1776940534.45697,57500,-10.493429183959961,-10.525123596191406,-11.158884048461914,-11.12851619720459,-11.992242813110352,-10.903203010559082,-10.569738388061523,-11.088164329528809,-11.107426643371582,-11.978638648986816
1776940535.4563968,58000,-10.535724639892578,-10.399179458618164,-11.082151412963867,-11.0863037109375,-12.003387451171875,-10.897286415100098,-10.341526985168457,-10.972284317016602,-11.049027442932129,-11.995763778686523
1776940536.4564874,58500,-10.611833572387695,-10.281449317932129,-10.998044967651367,-11.07413101196289,-11.994894027709961,-10.954995155334473,-10.170473098754883,-10.895617485046387,-11.03718376159668,-11.97472858428955
1776940537.4563684,59000,-10.629953384399414,-10.252778053283691,-10.948633193969727,-11.085756301879883,-11.993204116821289,-11.008356094360352,-10.152318954467773,-10.880017280578613,-11.06187629699707,-11.957232475280762
1776940538.4563172,59500,-10.618830680847168,-10.276480674743652,-10.931458473205566,-11.091741561889648,-11.986780166625977,-11.034265518188477,-10.19312572479248,-10.902806282043457,-11.081153869628906,-11.935836791992188
1776940539.4564261,60000,-10.62700080871582,-10.406553268432617,-11.004671096801758,-11.154990196228027,-11.994294166564941,-11.104571342468262,-10.344603538513184,-11.00340461730957,-11.158014297485352,-11.920326232910156
1776940540.4893932,60500,-10.743654251098633,-10.617044448852539,-11.123868942260742,-11.240381240844727,-12.045979499816895,-11.203279495239258,-10.609590530395508,-11.112447738647461,-11.250417709350586,-11.950712203979492
1776940541.4891224,61000,-10.78832721710205,-10.803495407104492,-11.245767593383789,-11.308515548706055,-12.121768951416016,-11.261533737182617,-10.812037467956543,-11.189522743225098,-11.298340797424316,-12.024063110351562
1776940542.4895225,61500,-11.003840446472168,-11.054771423339844,-11.423097610473633,-11.384869575500488,-12.197935104370117,-11.31492805480957,-11.064802169799805,-11.312292098999023,-11.353498458862305,-12.11923599243164
1776940543.4890985,62000,-11.229100227355957,-11.23118782043457,-11.523103713989258,-11.401737213134766,-12.285551071166992,-11.402936935424805,-11.239424705505371,-11.379534721374512,-11.350634574890137,-12.203950881958008
